Date,Time_st,Transect,Bearing,Secchi,Depth_st,Taxon_name,Family,Common_family,Consumer_group,Lw_a,Lw_b,Length_conversion_factor,Number,Size_TL_cm,Length_conv,Biomass_g,num_m^2,g_m^2
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Balistapus undulatus,Balistidae,Triggerfish,SECONDARY,5.80E-03,3.55,1,1,22,22,342.29,6.67E-03,2.28
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Chaetodon lunula,Chaetodontidae,Butterflyfish,SECONDARY,0.02,2.98,1,1,7,7,9.94,6.67E-03,0.06
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Mulloidichthys vanicolensis,Mullidae,Goatfish,SECONDARY,9.90E-03,3.01,1,2,26,26,365.43,0.01,2.43
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,3,10,9.3,40.93,0.02,0.27
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Acanthurus nigricauda,Acanthuridae,Surgeonfish,PRIMARY,0.01,3.16,0.84,1,26,21.84,293.2,6.67E-03,1.95
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Halichoeres hortulanus,Labridae,Wrasse,SECONDARY,0.01,3.06,1,1,32,32,486.77,6.67E-03,3.24
9/27/2023, 16:22:00,REIlee02D,180,12.7,1.1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,12,11.16,23.48,6.67E-03,0.15
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,6,10,9.4,195.75,0.04,1.3
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Myripristis vittata,Holocentridae,Soldierfish,PLANKTIVORE,0.02,3.03,0.88,1,10,8.8,20.07,6.67E-03,0.13
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stethojulis bandanensis,Labridae,Wrasse,PLANKTIVORE,0.03,2.58,1,1,8,8,6.5,6.67E-03,0.04
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Halichoeres hortulanus,Labridae,Wrasse,SECONDARY,0.01,3.06,1,1,36,36,698.32,6.67E-03,4.65
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,10,9.3,13.64,6.67E-03,0.09
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,9,8.37,9.97,6.67E-03,0.06
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,8,7.52,33.33,0.01,0.22
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,10,9.3,13.64,6.67E-03,0.09
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,11,12,11.28,621.28,0.07,4.14
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,3,13,12.22,215.6,0.02,1.43
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,1,6,5.64,7.01,6.67E-03,0.04
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,14,13.16,179.65,0.01,1.19
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,1,15,14.1,110.55,6.67E-03,0.73
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Myripristis berndti,Holocentridae,Soldierfish,PLANKTIVORE,0.02,3,0.92,1,18,16.56,126.94,6.67E-03,0.84
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Crenimugil crenilabrus,Mugilidae,Mullet,PRIMARY,0.03,2.73,1,2,27,27,627.31,0.01,4.18
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Myripristis berndti,Holocentridae,Soldierfish,PLANKTIVORE,0.02,3,0.92,2,10,9.2,43.44,0.01,0.28
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,1,4,4,1.75,6.67E-03,0.01
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,26,23.66,374.47,6.67E-03,2.49
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,8,7.44,7.02,6.67E-03,0.04
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Neoniphon sammara,Holocentridae,Soldierfish,SECONDARY,0.02,2.88,0.92,15,10,9.2,251.8,0.1,1.67
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,2,12,11.64,72.06,0.01,0.48
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Chaetodon ephippium,Chaetodontidae,Butterflyfish,SECONDARY,0.02,3.06,1,1,18,18,156.41,6.67E-03,1.04
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Cephalopholis argus,Serranidae,Grouper,PISCIVORE,9.29E-03,3.18,1,1,35,35,757.34,6.67E-03,5.04
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,10,5,5,28.92,0.06,0.19
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,6,10,10,135.9,0.04,0.9
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,5,8,7.76,46.91,0.03,0.31
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,34,32.64,669.65,6.67E-03,4.46
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,5,8,7.76,46.91,0.03,0.31
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,10,9.1,21.15,6.67E-03,0.14
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,7,6.37,7.18,6.67E-03,0.04
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,15,13.65,72.22,6.67E-03,0.48
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Acanthurus nigricauda,Acanthuridae,Surgeonfish,PRIMARY,0.01,3.16,0.84,1,26,21.84,293.2,6.67E-03,1.95
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Acanthurus nigricauda,Acanthuridae,Surgeonfish,PRIMARY,0.01,3.16,0.84,1,27,22.68,330.43,6.67E-03,2.2
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,25,22.75,332.08,6.67E-03,2.21
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Parupeneus multifasciatus,Mullidae,Goatfish,SECONDARY,0.01,3.21,0.9,1,7,6.3,4.18,6.67E-03,0.02
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Chaetodon lunulatus,Chaetodontidae,Butterflyfish,SECONDARY,0.02,2.98,1,2,12,12,99.66,0.01,0.66
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,32,32,716.21,6.67E-03,4.77
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Acanthurus nigrofuscus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.02,0.91,1,6,5.46,4.5,6.67E-03,0.03
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Scarus oviceps,Scaridae,Parrotfish,PRIMARY,0.01,3,1,1,35,35,771.75,6.67E-03,5.14
9/26/2023, 9:33:00,RIMwind01E,210,5.6,0.5,Parupeneus multifasciatus,Mullidae,Goatfish,SECONDARY,0.01,3.21,0.9,1,26,23.4,282.93,6.67E-03,1.88
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,6,6,4.68,6.67E-03,0.03
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,10,10,29.6,6.67E-03,0.19
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,2,8,8,30.31,0.01,0.2
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Abudefduf septemfasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3.15,0.93,1,18,16.74,212.19,6.67E-03,1.41
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,10,10,21.7,6.67E-03,0.14
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,2,2,0.17,6.67E-03,1.16E-03
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,12,12,11.28,677.76,0.08,4.51
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,5,5,2.71,6.67E-03,0.01
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,6,10,9.4,195.75,0.04,1.3
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,8,7.52,33.33,0.01,0.22
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,1,14,13.16,89.82,6.67E-03,0.59
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,15,14.1,221.11,0.01,1.47
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,13,12.22,143.73,0.01,0.95
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,7,6.58,22.3,0.01,0.14
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,12,11.28,112.96,0.01,0.75
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Dascyllus aruanus,Pomacentridae,Damselfish,PLANKTIVORE,0.04,2.98,0.96,18,4,3.84,41.67,0.12,0.27
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,10,10,9.4,326.25,0.06,2.17
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,1,15,13.05,61.11,6.67E-03,0.4
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Stegastes nigricans,Pomacentridae,Damselfish,PRIMARY,0.03,3.01,0.94,2,5,4.7,8.1,0.01,0.05
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,27,27,432.46,6.67E-03,2.88
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,3,30,29.1,2261.9,0.02,15.07
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Scarus psittacus,Scaridae,Parrotfish,PRIMARY,0.01,3.31,0.97,1,25,24.25,411.69,6.67E-03,2.74
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Scarus oviceps,Scaridae,Parrotfish,PRIMARY,0.01,3,1,1,37,37,911.75,6.67E-03,6.07
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Caranx melampygus,Carangidae,Jack,PISCIVORE,0.02,2.97,0.89,1,50,44.5,2288.22,6.67E-03,15.25
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,25,25,344.11,6.67E-03,2.29
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,32,32,716.21,6.67E-03,4.77
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,8,8,8,93.41,0.05,0.62
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,20,18.2,167.63,6.67E-03,1.11
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,35,35,934.54,6.67E-03,6.23
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Halichoeres hortulanus,Labridae,Wrasse,SECONDARY,0.01,3.06,1,1,16,16,58.2,6.67E-03,0.38
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,1,16,13.92,72.14,6.67E-03,0.48
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Balistapus undulatus,Balistidae,Triggerfish,SECONDARY,5.80E-03,3.55,1,1,22,22,342.29,6.67E-03,2.28
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,6,6,3.69,6.67E-03,0.02
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,5,5,4.49,0.01,0.02
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,3,10,9.3,40.93,0.02,0.27
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,11,10.23,18.12,6.67E-03,0.12
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,8,7.44,7.02,6.67E-03,0.04
9/26/2023, 10:20:00,RIMwind02D,210,4.5,1.2,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,1,20,20,177.39,6.67E-03,1.18
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,4,4,1.21,6.67E-03,8.13E-03
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,35,33.6,729.95,6.67E-03,4.86
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Lutjanus monostigma,Lutjanidae,Snapper,PISCIVORE,0.02,2.91,0.98,1,40,39.2,969.25,6.67E-03,6.46
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,6,6,4.68,6.67E-03,0.03
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chaetodon ephippium,Chaetodontidae,Butterflyfish,SECONDARY,0.02,3.06,1,1,18,18,156.41,6.67E-03,1.04
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,2,10,9.3,27.28,0.01,0.18
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,8,7.44,7.02,6.67E-03,0.04
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,3,7,7,22.32,0.02,0.14
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,5,4,4,6.94,0.03,0.04
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,14,14,37.56,6.67E-03,0.25
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,10,10,21.7,6.67E-03,0.14
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,15,15,45.37,6.67E-03,0.3
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,2,2,0.17,6.67E-03,1.16E-03
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,1,10,8.6,15.06,6.67E-03,0.1
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,2,8,6.88,15.52,0.01,0.1
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,4,4,3.44,3.95,0.02,0.02
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Pomacentrus pavo,Pomacentridae,Damselfish,PLANKTIVORE,0.02,2.97,0.86,1,7,6.02,5.21,6.67E-03,0.03
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Valenciennea strigata,Gobiidae,Goby,SECONDARY,9.29E-03,3.04,1,1,12,12,17.97,6.67E-03,0.11
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chrysiptera glauca,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,8,5,5,21.7,0.05,0.14
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,1,4,3.48,2.04,6.67E-03,0.01
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,25,24,268.32,6.67E-03,1.78
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,36,34.56,793.75,6.67E-03,5.29
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,38,36.48,932.23,6.67E-03,6.21
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,3,10,10,67.95,0.02,0.45
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,4,4,4,5.96,0.02,0.03
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,7,7,5.63,6.67E-03,0.03
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Acanthurus nigricauda,Acanthuridae,Surgeonfish,PRIMARY,0.01,3.16,0.84,1,30,25.2,461.35,6.67E-03,3.07
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,30,28.8,461.5,6.67E-03,3.07
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,1,16,13.92,72.14,6.67E-03,0.48
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,1,15,13.05,61.11,6.67E-03,0.4
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chaetodon ulietensis,Chaetodontidae,Butterflyfish,SECONDARY,0.03,2.87,1,1,14,14,61.29,6.67E-03,0.4
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chaetodon ulietensis,Chaetodontidae,Butterflyfish,SECONDARY,0.03,2.87,1,1,15,15,74.73,6.67E-03,0.49
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Parupeneus multifasciatus,Mullidae,Goatfish,SECONDARY,0.01,3.21,0.9,1,26,23.4,282.93,6.67E-03,1.88
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,5,5,4.49,0.01,0.02
9/26/2023, 10:57:00,RIMwind03B,210,210,1,Chlorurus sordidus,Scaridae,Parrotfish,PRIMARY,0.02,2.96,1,6,5,5,17.35,0.04,0.11
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Chaetodon ephippium,Chaetodontidae,Butterflyfish,SECONDARY,0.02,3.06,1,2,18,18,312.82,0.01,2.08
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,6,6,3.69,6.67E-03,0.02
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,1,15,13.05,61.11,6.67E-03,0.4
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Rhinecanthus aculeatus,Balistidae,Triggerfish,SECONDARY,0.05,2.64,1,1,18,18,107.85,6.67E-03,0.71
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Lutjanus monostigma,Lutjanidae,Snapper,PISCIVORE,0.02,2.91,0.98,1,60,58.8,3157.24,6.67E-03,21.04
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Parupeneus barberinus,Mullidae,Goatfish,SECONDARY,0.01,3.12,0.9,1,30,27,385.2,6.67E-03,2.56
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Epinephelus merra,Serranidae,Grouper,PISCIVORE,0.01,2.96,1,1,20,20,114.57,6.67E-03,0.76
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,2,5,5,4.49,0.01,0.02
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,7,7,5.63,6.67E-03,0.03
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Acanthurus triostegus,Acanthuridae,Surgeonfish,PRIMARY,0.08,2.56,0.87,2,16,13.92,144.28,0.01,0.96
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Halichoeres hortulanus,Labridae,Wrasse,SECONDARY,0.01,3.06,1,1,27,27,289.23,6.67E-03,1.92
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Stegastes albifasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3,1,1,5,5,3.7,6.67E-03,0.02
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,7,7,5.63,6.67E-03,0.03
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Halichoeres trimaculatus,Labridae,Wrasse,SECONDARY,0.02,2.73,1,1,8,8,8.12,6.67E-03,0.05
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Centropyge flavissima,Pomacanthidae,Angelfish,PRIMARY,0.03,2.79,1,1,12,12,32.96,6.67E-03,0.21
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Abudefduf septemfasciatus,Pomacentridae,Damselfish,PRIMARY,0.02,3.15,0.93,1,18,16.74,212.19,6.67E-03,1.41
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Chrysiptera brownriggii,Pomacentridae,Damselfish,PRIMARY,0.02,2.95,1,1,4,4,1.75,6.67E-03,0.01
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Gnathodentex aureolineatus,Lethrinidae,Emperor,SECONDARY,0.02,3.06,0.91,1,20,18.2,194.82,6.67E-03,1.29
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Acanthurus guttatus,Acanthuridae,Surgeonfish,PRIMARY,2.90E-03,3,1,1,22,22,30.87,6.67E-03,0.2
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Thalassoma hardwicke,Labridae,Wrasse,PLANKTIVORE,0.01,2.97,0.93,1,10,9.3,13.64,6.67E-03,0.09
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,26,24.96,301.52,6.67E-03,2.01
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Ctenochaetus striatus,Acanthuridae,Surgeonfish,PRIMARY,0.02,3.06,0.91,1,17,15.47,101.89,6.67E-03,0.67
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Caranx melampygus,Carangidae,Jack,PISCIVORE,0.02,2.97,0.89,1,37,32.93,934.53,6.67E-03,6.23
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Lutjanus fulvus,Lutjanidae,Snapper,SECONDARY,0.02,2.97,0.96,1,27,25.92,337.34,6.67E-03,2.24
9/26/2023, 13:28:00,REIwind01E,160,16.5,1.2,Hipposcarus longiceps,Scaridae,Parrotfish,PRIMARY,0.01,3,1,1,40,40,1267.2,6.67E-03,8.44
